,Date,Object,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Confidence_1,Confidence_2,Confidence_3,Confidence_4,Confidence_5,Confidence_6,Regression_2,Regression_3,Regression_5,Regression_6,Source,Row,Empty,CR
335186,1891-02-16,Sunspot,20.3,-66.44,229.01,15.65,227.32,133.77,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0444,1,False,500.05705571290656
335187,1891-02-16,Sunspot,-12.31,-55.58,218.15,-17.75,219.33,125.78,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0444,2,False,500.05705571290656
335188,1891-02-16,Sunspot,-23.57,-0.19,162.76,-30.2,161.68,68.13,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0444,3,False,500.05705571290656
335189,1891-02-16,Sunspot,-25.46,4.64,157.93,-31.89,156.45,62.9,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0444,4,False,500.05705571290656
335190,1891-02-16,Sunspot,20.41,58.66,103.91,18.59,106.29,12.74,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0444,5,False,500.05705571290656
335191,1891-02-16,Sunspot,19.22,61.67,100.9,17.76,103.19,9.64,1.0,1.0,1.0,1.0,0.58,0.58,False,False,False,True,Z1887-1892_Page_0444,6,False,500.05705571290656
335192,1891-02-16,Sunspot,-10.28,54.31,108.26,-22.33,115.67,12.12,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0444,7,False,500.05705571290656
335193,1891-02-16,Sunspot,-21.92,63.75,98.82,-22.83,15.97,2.42,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0444,8,False,500.05705571290656
335194,1891-02-16,Sunspot,-22.69,64.39,98.18,-23.51,95.22,1.67,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0444,9,False,500.05705571290656
