,Date,Object,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Confidence_1,Confidence_2,Confidence_3,Confidence_4,Confidence_5,Confidence_6,Regression_2,Regression_3,Regression_5,Regression_6,Source,Row,Empty,CR
177777,1895-01-14,Sunspot,-7.1,-28.5,157.6,-13.6,157.0,210.6,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1893-1898_Page_0931,39,False,552.4152028714806
177778,1895-01-14,Sunspot,-8.5,-24.8,153.9,-14.7,153.3,206.9,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1893-1898_Page_0931,40,False,552.4152028714806
177779,1895-01-14,Sunspot,-8.4,-20.4,149.5,-14.4,148.7,202.3,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1893-1898_Page_0931,41,False,552.4152028714806
177780,1895-01-14,Sunspot,-25.0,55.4,73.7,-22.9,70.8,124.4,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1893-1898_Page_0931,42,False,552.4152028714806
177781,1895-01-14,Sunspot,-28.8,61.0,68.1,-26.0,64.7,118.3,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1893-1898_Page_0931,43,False,552.4152028714806
