,Date,Object,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Confidence_1,Confidence_2,Confidence_3,Confidence_4,Confidence_5,Confidence_6,Regression_2,Regression_3,Regression_5,Regression_6,Source,Row,Empty,CR
345473,1892-04-12,Sunspot,24.11,-8.72,239.94,13.73,27.18,258.98,0.16,0.19,0.42,0.13,0.3,0.3,False,False,False,True,Z1887-1892_Page_0716,23,False,515.4898834857565
345474,1892-04-12,Sunspot,12.37,-2.82,220.19,17.02,217.18,239.88,1.0,0.66,1.0,1.0,0.58,0.58,False,False,False,True,Z1887-1892_Page_0716,24,False,515.4898834857565
345475,1892-04-12,Sunspot,24.78,0.13,215.84,19.02,212.09,232.79,1.0,0.07,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0716,25,False,515.4898834857565
345477,1892-04-12,Sunspot,22.99,4.11,213.8,17.15,21.1,233.81,1.0,0.65,1.0,1.0,0.2,0.2,False,False,False,True,Z1887-1892_Page_0716,27,False,515.4898834857565
345478,1892-04-12,Sunspot,-7.53,2.41,202.36,-10.07,203.17,223.87,0.09,0.11,0.75,0.04,1.0,1.0,False,False,False,False,Z1887-1892_Page_0716,28,False,515.4898834857565
345479,1892-04-12,Sunspot,12.28,17.76,200.21,19.5,200.93,221.63,0.11,0.55,0.84,0.31,1.0,1.0,False,False,False,False,Z1887-1892_Page_0716,29,False,515.4898834857565
345480,1892-04-12,Sunspot,-6.44,32.63,135.34,-13.38,185.46,202.49,0.82,0.89,0.28,0.3,1.0,1.0,False,False,False,False,Z1887-1892_Page_0716,30,False,515.4898834857565
345481,1892-04-12,Sunspot,-6.01,36.22,135.15,0.38,146.34,167.06,0.02,0.35,0.24,0.26,0.35,0.35,False,False,True,False,Z1887-1892_Page_0716,31,False,515.4898834857565
345482,1892-04-12,Sunspot,17.5,73.41,115.3,11.98,355.99,166.93,0.67,0.07,0.4,0.16,0.48,0.48,False,False,True,False,Z1887-1892_Page_0716,32,False,515.4898834857565
