,Date,Object,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Confidence_1,Confidence_2,Confidence_3,Confidence_4,Confidence_5,Confidence_6,Regression_2,Regression_3,Regression_5,Regression_6,Source,Row,Empty,CR
325860,1888-12-03,Sunspot,-10.86,-11.45,98.29,-11.79,96.9,327.82,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0195,31,False,470.54908979181874
325861,1888-12-03,Sunspot,-12.33,-11.01,97.85,-13.2,96.28,327.2,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0195,32,False,470.54908979181874
325863,1888-12-03,Sunspot,-11.56,-9.69,96.53,-13.16,95.06,325.98,0.57,1.0,1.0,0.36,1.0,1.0,False,False,False,False,Z1887-1892_Page_0195,34,False,470.54908979181874
325864,1888-12-03,Sunspot,-11.63,-10.18,97.02,-12.39,95.54,326.46,1.0,0.79,1.0,1.0,1.0,1.0,True,False,False,False,Z1887-1892_Page_0195,35,False,470.54908979181874
325865,1888-12-03,Sunspot,-11.62,-9.24,96.08,-12.27,94.61,325.53,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0195,36,False,470.54908979181874
325866,1888-12-03,Sunspot,-9.35,-8.78,95.62,-9.95,94.43,325.35,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0195,37,False,470.54908979181874
325867,1888-12-03,Sunspot,-4.22,-5.66,92.5,-10.57,70.71,322.14,0.14,1.0,1.0,0.1,0.2,0.2,False,False,False,True,Z1887-1892_Page_0196,1,False,470.54908979181874
325868,1888-12-03,Sunspot,0.0,-5.53,92.37,-11.68,161.94,321.86,0.24,1.0,1.0,0.04,0.03,0.03,False,False,True,False,Z1887-1892_Page_0196,2,False,470.54908979181874
325869,1888-12-03,Sunspot,-4.4,-5.09,91.93,-10.26,73.82,321.60,0.19,1.0,1.0,0.07,0.03,0.03,False,False,False,True,Z1887-1892_Page_0196,3,False,470.54908979181874
