,Date,Object,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Confidence_1,Confidence_2,Confidence_3,Confidence_4,Confidence_5,Confidence_6,Regression_2,Regression_3,Regression_5,Regression_6,Source,Row,Empty,CR
127431,1893-01-19,Sunspot,16.2,-39.5,174.3,9.3,174.4,129.7,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1893-1898_Page_0010,6,False,525.8338122644639
127432,1893-01-19,Sunspot,-9.7,-9.2,144.0,-15.3,143.1,98.4,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1893-1898_Page_0010,7,False,525.8338122644639
127433,1893-01-19,Sunspot,-12.6,16.2,118.6,-15.9,117.0,72.3,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1893-1898_Page_0010,8,False,525.8338122644639
127434,1893-01-19,Sunspot,-13.0,18.7,116.1,-16.0,114.4,69.7,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1893-1898_Page_0010,9,False,525.8338122644639
127435,1893-01-19,Sunspot,-11.2,29.2,105.6,-13.1,104.2,59.5,0.87,1.0,1.0,0.91,1.0,1.0,False,False,False,False,Z1893-1898_Page_0010,10,False,525.8338122644639
127436,1893-01-19,Sunspot,-0.8,32.0,102.8,-12.3,101.4,56.7,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1893-1898_Page_0010,11,False,525.8338122644639
127437,1893-01-19,Sunspot,-9.7,33.8,101.0,-10.9,99.7,55.0,0.94,1.0,1.0,0.94,1.0,1.0,False,False,False,False,Z1893-1898_Page_0010,12,False,525.8338122644639
127438,1893-01-19,Sunspot,-11.8,34.0,100.8,-12.9,99.3,54.6,0.75,1.0,1.0,0.95,1.0,1.0,False,False,False,False,Z1893-1898_Page_0010,13,False,525.8338122644639
127439,1893-01-19,Sunspot,-11.2,35.2,99.6,-12.3,98.2,53.5,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1893-1898_Page_0010,14,False,525.8338122644639
127440,1893-01-19,Sunspot,-13.3,37.5,97.3,-14.1,95.6,50.9,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1893-1898_Page_0010,15,False,525.8338122644639
127441,1893-01-19,Sunspot,-12.1,37.6,97.2,-12.9,95.7,51.0,0.88,1.0,1.0,0.97,1.0,1.0,False,False,False,False,Z1893-1898_Page_0010,16,False,525.8338122644639
127442,1893-01-19,Sunspot,-10.0,38.0,96.8,-10.8,95.5,50.8,0.89,1.0,1.0,0.93,1.0,1.0,False,False,False,False,Z1893-1898_Page_0010,17,False,525.8338122644639
127443,1893-01-19,Sunspot,-12.5,38.5,96.3,-13.3,94.7,50.0,0.8,1.0,1.0,0.91,1.0,1.0,False,False,False,False,Z1893-1898_Page_0010,18,False,525.8338122644639
127444,1893-01-19,Sunspot,-15.0,38.7,96.1,-15.6,94.2,49.5,0.9,1.0,1.0,0.84,1.0,1.0,False,False,False,False,Z1893-1898_Page_0010,19,False,525.8338122644639
127445,1893-01-19,Sunspot,-8.8,47.0,87.8,-8.5,86.7,42.0,0.95,1.0,1.0,0.9,1.0,1.0,False,False,False,False,Z1893-1898_Page_0010,20,False,525.8338122644639
127446,1893-01-19,Sunspot,-10.0,54.0,80.8,-8.7,79.7,35.0,0.98,1.0,1.0,0.85,1.0,1.0,False,False,False,False,Z1893-1898_Page_0010,21,False,525.8338122644639
