,Date,Object,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Confidence_1,Confidence_2,Confidence_3,Confidence_4,Confidence_5,Confidence_6,Regression_2,Regression_3,Regression_5,Regression_6,Source,Row,Empty,CR
350225,1892-06-20,Sunspot,-2.16,-7.23,190.23,-32.81,89.05,101.30,0.01,0.02,0.02,0.02,0.01,0.01,False,False,False,False,Z1887-1892_Page_0839,4,False,518.0246997723074
350226,1892-06-20,Sunspot,-13.98,-9.65,10.29,-32.89,24.23,98.71,1.0,0.01,1.0,1.0,0.02,0.02,False,False,False,False,Z1887-1892_Page_0839,5,False,518.0246997723074
350227,1892-06-20,Sunspot,1.47,-7.28,27.16,25.2,27.29,91.4,0.05,0.03,0.02,0.03,0.02,0.02,False,False,False,False,Z1887-1892_Page_0839,6,False,518.0246997723074
350228,1892-06-20,Sunspot,4.87,-0.92,88.49,25.0,27.4,87.3,0.04,0.02,0.01,0.02,0.03,0.02,False,False,False,False,Z1887-1892_Page_0839,7,False,518.0246997723074
350229,1892-06-20,Sunspot,0.0,-6.16,92.43,26.6,20.88,86.6,0.06,0.02,0.01,0.11,0.03,0.02,False,False,False,False,Z1887-1892_Page_0839,8,False,518.0246997723074
350230,1892-06-20,Sunspot,0.16,-0.26,17.46,25.5,27.19,86.2,0.03,0.02,0.02,0.02,0.03,0.02,False,False,False,False,Z1887-1892_Page_0839,9,False,518.0246997723074
350231,1892-06-20,Sunspot,-0.41,-10.54,30.23,-23.36,34.01,57.29,0.04,0.02,0.14,0.03,0.02,0.06,False,False,False,False,Z1887-1892_Page_0839,10,False,518.0246997723074
350232,1892-06-20,Sunspot,7.67,-0.19,29.1,11.4,300.29,55.19,0.09,0.14,0.02,0.05,0.03,0.02,False,False,False,False,Z1887-1892_Page_0839,11,False,518.0246997723074
350233,1892-06-20,Sunspot,7.11,-0.55,22.44,10.25,20.47,49.55,0.05,0.06,0.07,0.17,0.02,0.03,False,False,False,False,Z1887-1892_Page_0839,12,False,518.0246997723074
350234,1892-06-20,Sunspot,-0.29,-0.72,21.97,-22.13,2.29,35.13,0.03,0.1,0.02,0.06,0.03,0.03,False,False,False,False,Z1887-1892_Page_0839,13,False,518.0246997723074
350235,1892-06-20,Sunspot,-0.83,9.44,27.25,-20.79,270.92,33.2,0.07,0.03,0.15,0.08,0.03,0.03,False,False,False,False,Z1887-1892_Page_0839,14,False,518.0246997723074
350236,1892-06-20,Sunspot,-20.51,10.51,276.18,-19.61,277.7,31.98,1.0,0.04,1.0,1.0,0.05,0.04,False,False,False,False,Z1887-1892_Page_0839,15,False,518.0246997723074
350237,1892-06-20,Sunspot,-19.32,10.0,274.69,-18.6,277.08,30.36,0.04,0.36,0.05,0.02,0.04,0.05,False,False,False,False,Z1887-1892_Page_0839,16,False,518.0246997723074
350239,1892-06-20,Sunspot,88.82,10.95,237.74,13.02,236.18,349.46,0.01,0.04,0.09,0.02,0.03,0.04,False,False,False,False,Z1887-1892_Page_0839,18,False,518.0246997723074
350240,1892-06-20,Sunspot,15.2,-0.5,237.19,11.35,235.82,349.10,0.24,0.03,0.05,0.07,0.03,0.03,False,False,False,False,Z1887-1892_Page_0839,19,False,518.0246997723074
350241,1892-06-20,Sunspot,16.54,-7.14,236.3,12.6,234.87,348.15,0.11,0.02,0.06,0.06,0.04,0.03,False,False,False,False,Z1887-1892_Page_0839,20,False,518.0246997723074
350242,1892-06-20,Sunspot,18.45,-58.83,225.86,13.55,224.49,337.77,0.06,0.02,0.01,0.1,0.07,0.04,False,False,False,False,Z1887-1892_Page_0839,21,False,518.0246997723074
350243,1892-06-20,Sunspot,16.83,56.36,228.33,12.14,227.01,340.29,0.04,0.03,0.08,0.07,0.05,0.08,False,False,False,False,Z1887-1892_Page_0839,22,False,518.0246997723074
350244,1892-06-20,Sunspot,14.44,-7.18,27.81,10.2,226.9,339.95,0.07,0.03,0.12,0.33,0.02,0.02,False,False,False,False,Z1887-1892_Page_0839,23,False,518.0246997723074
350245,1892-06-20,Sunspot,15.14,-0.7,24.48,10.16,223.97,337.25,0.11,0.02,0.05,0.07,0.09,0.08,False,False,False,False,Z1887-1892_Page_0839,24,False,518.0246997723074
350246,1892-06-20,Sunspot,13.24,1.26,23.25,9.6,220.85,334.13,1.0,0.03,1.0,1.0,0.12,0.06,False,False,False,False,Z1887-1892_Page_0839,25,False,518.0246997723074
350247,1892-06-20,Sunspot,-5.36,59.65,225.04,-10.27,225.72,339.00,0.06,0.03,0.11,0.05,0.08,0.04,False,False,False,False,Z1887-1892_Page_0839,26,False,518.0246997723074
