,Date,Object,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Confidence_1,Confidence_2,Confidence_3,Confidence_4,Confidence_5,Confidence_6,Regression_2,Regression_3,Regression_5,Regression_6,Source,Row,Empty,CR
343023,1892-02-26,Sunspot,32.55,-16.68,189.17,25.66,188.57,141.89,1.0,0.17,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0651,1,False,513.8050342623148
343061,1892-02-26,Sunspot,32.3,-14.78,187.37,25.39,186.89,140.21,1.0,0.26,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0652,2,False,513.8050342623148
343074,1892-02-26,Sunspot,11.95,-28.77,202.26,5.49,201.86,142.38,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0652,15,False,513.8050342623148
343076,1892-02-26,Sunspot,-16.32,85.21,88.28,-15.99,86.27,26.79,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0652,17,False,513.8050342623148
