,Date,Object,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Confidence_1,Confidence_2,Confidence_3,Confidence_4,Confidence_5,Confidence_6,Regression_2,Regression_3,Regression_5,Regression_6,Source,Row,Empty,CR
412061,1907-06-19,Sunspot,6.0,47.4,334.5,12.2,334.0,85.1,0.24,0.69,0.69,0.41,0.88,0.88,True,False,True,False,Z1906-1910_Page_0827,19,False,718.7926650124712
412062,1907-06-19,Sunspot,5.4,49.2,232.7,11.5,330.6,81.7,0.91,0.95,0.95,0.52,1.0,1.0,False,True,False,False,Z1906-1910_Page_0827,20,False,718.7926650124712
412063,1907-06-19,Sunspot,-22.9,46.2,235.7,-21.4,329.6,81.7,0.07,0.85,0.85,0.38,0.71,0.71,False,True,False,True,Z1906-1910_Page_0827,21,False,718.7926650124712
412066,1907-06-19,Sunspot,-20.4,1.8,283.7,-18.6,286.0,37.1,0.2,0.87,0.87,0.1,1.0,1.0,True,False,False,False,Z1906-1910_Page_0827,24,False,718.7926650124712
412067,1907-06-19,Sunspot,-18.0,1.0,280.9,-16.5,283.0,34.1,0.12,0.9,0.9,0.15,1.0,1.0,True,False,False,False,Z1906-1910_Page_0827,25,False,718.7926650124712
412069,1907-06-19,Sunspot,-15.0,0.8,281.1,-13.5,282.8,33.9,0.3,1.0,1.0,0.45,1.0,1.0,False,False,False,False,Z1906-1910_Page_0827,27,False,718.7926650124712
412070,1907-06-19,Sunspot,-15.8,2.4,279.5,-13.6,281.4,32.5,0.2,1.0,1.0,0.35,0.84,0.84,False,False,True,False,Z1906-1910_Page_0827,28,False,718.7926650124712
412071,1907-06-19,Sunspot,-14.0,3.0,278.4,-12.9,280.0,31.1,0.03,0.78,0.78,0.07,1.0,1.0,True,False,False,False,Z1906-1910_Page_0827,29,False,718.7926650124712
412072,1907-06-19,Sunspot,-13.2,4.5,277.4,-12.3,279.0,30.1,0.68,0.86,0.86,0.18,1.0,1.0,False,True,False,False,Z1906-1910_Page_0827,30,False,718.7926650124712
412073,1907-06-19,Sunspot,-13.5,5.8,276.1,-12.7,277.8,28.9,0.26,1.0,1.0,0.18,1.0,1.0,False,False,False,False,Z1906-1910_Page_0827,31,False,718.7926650124712
412074,1907-06-19,Sunspot,12.5,8.0,273.9,-11.9,275.3,26.4,0.11,1.0,1.0,0.09,1.0,1.0,False,False,False,False,Z1906-1910_Page_0827,32,False,718.7926650124712
412075,1907-06-19,Sunspot,1.0,9.0,272.9,-10.5,274.2,25.3,0.41,1.0,1.0,0.15,1.0,1.0,False,False,False,False,Z1906-1910_Page_0827,33,False,718.7926650124712
