,Date,Object,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Confidence_1,Confidence_2,Confidence_3,Confidence_4,Confidence_5,Confidence_6,Regression_2,Regression_3,Regression_5,Regression_6,Source,Row,Empty,CR
411936,1907-06-18,Sunspot,-24.8,57.2,223.6,-19.1,225.2,92.7,0.24,0.53,0.53,0.31,1.0,1.0,True,False,False,False,Z1906-1910_Page_0825,24,False,718.7558956854075
411937,1907-06-18,Sunspot,25.8,21.0,259.8,-21.0,214.1,81.6,0.01,0.61,0.61,0.28,1.0,1.0,False,True,False,False,Z1906-1910_Page_0825,25,False,718.7558956854075
411939,1907-06-18,Sunspot,9.4,63.4,217.4,12.4,216.6,84.1,0.22,0.56,0.56,0.67,1.0,1.0,True,False,False,False,Z1906-1910_Page_0825,27,False,718.7558956854075
411940,1907-06-18,Sunspot,6.4,66.2,214.6,11.3,213.9,81.4,0.89,0.59,0.59,0.33,1.0,1.0,True,False,False,False,Z1906-1910_Page_0825,28,False,718.7558956854075
411941,1907-06-18,Sunspot,7.5,27.8,253.0,11.8,207.7,75.2,0.78,0.1,0.1,0.81,1.0,1.0,False,True,False,False,Z1906-1910_Page_0825,29,False,718.7558956854075
411942,1907-06-18,Sunspot,-12.8,12.8,268.0,-13.0,269.6,37.1,0.65,1.0,1.0,0.36,0.43,0.43,False,False,False,True,Z1906-1910_Page_0825,30,False,718.7558956854075
411943,1907-06-18,Sunspot,15.6,11.0,269.8,-15.0,142.0,34.3,0.13,1.0,1.0,0.26,0.29,0.29,False,False,True,False,Z1906-1910_Page_0825,31,False,718.7558956854075
411944,1907-06-18,Sunspot,-18.0,15.0,265.8,-18.5,265.3,35.6,0.49,1.0,1.0,0.1,0.73,0.73,False,False,False,True,Z1906-1910_Page_0825,32,False,718.7558956854075
411946,1907-06-18,Sunspot,-15.0,19.0,261.8,-15.9,267.8,31.3,0.46,1.0,1.0,0.43,0.76,0.76,False,False,False,True,Z1906-1910_Page_0825,34,False,718.7558956854075
411947,1907-06-18,Sunspot,-13.0,16.2,264.6,-13.5,266.7,33.8,0.42,1.0,1.0,0.19,0.59,0.59,False,False,False,True,Z1906-1910_Page_0825,35,False,718.7558956854075
411949,1907-06-18,Sunspot,11.7,19.5,261.3,-12.3,262.7,30.2,0.11,1.0,1.0,0.04,0.81,0.81,False,False,False,True,Z1906-1910_Page_0825,37,False,718.7558956854075
411950,1907-06-18,Sunspot,9.0,20.1,260.7,-10.0,261.9,29.4,0.64,1.0,1.0,0.4,0.79,0.79,False,False,False,True,Z1906-1910_Page_0825,38,False,718.7558956854075
411951,1907-06-18,Sunspot,0.8,22.2,258.6,-12.0,260.0,27.5,0.14,1.0,1.0,0.18,0.74,0.74,False,False,False,True,Z1906-1910_Page_0825,39,False,718.7558956854075
411952,1907-06-18,Sunspot,-8.8,23.9,256.9,-9.1,228.6,96.0,0.18,0.17,0.17,0.7,0.56,0.56,False,True,True,False,Z1906-1910_Page_0825,40,False,718.7558956854075
