,Date,Object,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Confidence_1,Confidence_2,Confidence_3,Confidence_4,Confidence_5,Confidence_6,Regression_2,Regression_3,Regression_5,Regression_6,Source,Row,Empty,CR
410819,1907-06-07,Sunspot,20.2,40.0,210.9,-15.6,212.0,237.0,0.33,0.24,0.47,0.14,0.42,0.58,False,False,False,False,Z1906-1910_Page_0808,12,False,718.3514603578274
410820,1907-06-07,Sunspot,23.8,24.0,204.9,-9.8,206.1,230.5,0.04,0.14,0.16,0.27,0.45,0.34,False,False,False,False,Z1906-1910_Page_0808,13,False,718.3514603578274
410821,1907-06-07,Sunspot,24.0,26.5,296.8,-10.8,299.2,222.0,0.15,0.19,0.24,0.11,0.26,0.45,False,False,False,False,Z1906-1910_Page_0808,14,False,718.3514603578274
410822,1907-06-07,Sunspot,25.0,52.2,220.1,-10.9,220.8,145.2,0.28,0.23,0.62,0.22,0.49,0.39,False,False,False,False,Z1906-1910_Page_0808,15,False,718.3514603578274
