,Date,Object,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Confidence_1,Confidence_2,Confidence_3,Confidence_4,Confidence_5,Confidence_6,Regression_2,Regression_3,Regression_5,Regression_6,Source,Row,Empty,CR
344765,1892-04-01,Sunspot,-20.06,-11.75,218.93,-25.41,220.8,38.25,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0697,22,False,515.0865919336438
344766,1892-04-01,Sunspot,-18.34,-9.64,216.82,-23.86,218.45,35.9,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0697,23,False,515.0865919336438
344767,1892-04-01,Sunspot,19.7,5.95,201.23,13.19,200.49,17.94,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0697,24,False,515.0865919336438
344768,1892-04-01,Sunspot,19.57,11.79,195.39,12.84,194.86,12.31,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0697,25,False,515.0865919336438
344769,1892-04-01,Sunspot,-10.98,6.96,200.22,-17.5,200.85,18.3,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0697,26,False,515.0865919336438
344770,1892-04-01,Sunspot,-13.63,12.86,194.32,-20.37,194.85,12.3,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0697,27,False,515.0865919336438
344771,1892-04-01,Sunspot,23.9,66.01,141.17,18.43,142.83,320.28,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0697,28,False,515.0865919336438
344772,1892-04-01,Sunspot,-5.51,59.66,147.52,-11.37,146.96,324.41,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0697,29,False,515.0865919336438
344773,1892-04-01,Sunspot,-5.36,70.32,136.86,-10.43,136.19,313.64,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0697,30,False,515.0865919336438
344800,1892-04-01,Sunspot,8.64,-66.82,274.0,28.7,270.21,87.66,0.02,1.0,1.0,0.03,1.0,1.0,False,False,False,False,Z1887-1892_Page_0698,20,False,515.0865919336438
