,Date,Object,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Confidence_1,Confidence_2,Confidence_3,Confidence_4,Confidence_5,Confidence_6,Regression_2,Regression_3,Regression_5,Regression_6,Source,Row,Empty,CR
342091,1892-02-09,Sunspot,28.3,-53.88,209.28,22.18,207.71,44.32,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0625,33,False,513.1831572428259
342092,1892-02-09,Sunspot,28.17,-50.7,206.1,21.88,204.71,41.32,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0625,34,False,513.1831572428259
342093,1892-02-09,Sunspot,12.33,-55.07,210.47,-18.3,211.45,48.06,0.05,1.0,1.0,0.05,1.0,1.0,False,False,False,False,Z1887-1892_Page_0625,35,False,513.1831572428259
342094,1892-02-09,Sunspot,-13.01,-50.74,206.14,-19.23,307.04,43.65,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0625,36,False,513.1831572428259
342095,1892-02-09,Sunspot,-10.05,-47.47,202.87,-16.46,203.52,40.13,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0625,37,False,513.1831572428259
342097,1892-02-09,Sunspot,-23.85,19.1,136.3,-28.89,133.85,330.46,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0626,2,False,513.1831572428259
342098,1892-02-09,Sunspot,-22.03,20.44,134.96,-26.86,132.67,329.28,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0626,3,False,513.1831572428259
342099,1892-02-09,Sunspot,-24.02,21.8,133.6,-28.72,131.04,327.65,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0626,4,False,513.1831572428259
342100,1892-02-09,Sunspot,-19.07,22.4,133.0,-23.73,130.96,327.57,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0626,5,False,513.1831572428259
342101,1892-02-09,Sunspot,-23.54,22.93,132.47,-28.14,129.93,326.54,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0626,6,False,513.1831572428259
342102,1892-02-09,Sunspot,-24.44,23.8,131.6,-28.94,128.92,325.53,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0626,7,False,513.1831572428259
342103,1892-02-09,Sunspot,-18.52,25.19,130.21,-22.93,128.16,324.77,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0626,8,False,513.1831572428259
342104,1892-02-09,Sunspot,-21.32,25.4,130.0,-25.7,127.64,324.25,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0626,9,False,513.1831572428259
342105,1892-02-09,Sunspot,-22.74,26.12,129.28,-27.03,126.74,323.35,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0626,10,False,513.1831572428259
342106,1892-02-09,Sunspot,-25.74,27.12,128.28,-29.92,125.35,321.96,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0626,11,False,513.1831572428259
342107,1892-02-09,Sunspot,-18.53,31.08,124.32,-22.35,122.15,318.76,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0626,12,False,513.1831572428259
342108,1892-02-09,Sunspot,-24.08,30.47,124.93,-27.92,122.09,318.7,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0626,13,False,513.1831572428259
342109,1892-02-09,Sunspot,-25.1,30.75,124.65,-28.92,121.68,318.29,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0626,14,False,513.1831572428259
342110,1892-02-09,Sunspot,-23.86,32.58,122.82,-27.5,119.95,316.56,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0626,15,False,513.1831572428259
342111,1892-02-09,Sunspot,-23.78,34.06,121.34,-27.25,11.86,315.07,1.0,1.0,1.0,1.0,0.66,0.66,False,False,False,True,Z1887-1892_Page_0626,16,False,513.1831572428259
