,Date,Object,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Confidence_1,Confidence_2,Confidence_3,Confidence_4,Confidence_5,Confidence_6,Regression_2,Regression_3,Regression_5,Regression_6,Source,Row,Empty,CR
328997,1889-08-10,Sunspot,-4.76,-72.89,46.03,-19.82,44.0,306.23,0.96,1.0,1.0,0.37,1.0,1.0,False,False,False,False,Z1887-1892_Page_0279,26,False,479.7160818141927
328998,1889-08-10,Sunspot,-5.18,-71.12,44.26,-20.1,42.26,304.49,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0279,27,False,479.7160818141927
328999,1889-08-10,Sunspot,-5.54,-69.88,43.02,-20.36,41.04,303.27,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0279,28,False,479.7160818141927
329000,1889-08-10,Sunspot,-6.4,-63.37,36.51,-20.73,34.74,296.97,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0279,29,False,479.7160818141927
329001,1889-08-10,Sunspot,-6.32,-62.29,35.43,-20.57,33.71,295.94,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0279,30,False,479.7160818141927
329002,1889-08-10,Sunspot,-12.98,15.37,317.77,-7.79,318.62,220.85,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0279,31,False,479.7160818141927
329003,1889-08-10,Sunspot,-12.89,15.46,317.68,-7.71,318.54,220.77,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0279,32,False,479.7160818141927
329004,1889-08-10,Sunspot,-12.94,17.37,315.77,-7.91,316.66,218.89,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0279,33,False,479.7160818141927
329005,1889-08-10,Sunspot,-12.54,19.42,313.72,-7.68,314.62,216.05,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0279,34,False,479.7160818141927
329007,1889-08-10,Sunspot,-14.12,21.44,311.7,-9.13,312.78,215.01,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0279,36,False,479.7160818141927
329008,1889-08-10,Sunspot,-11.55,22.91,310.23,-8.99,311.29,213.52,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0279,37,False,479.7160818141927
329009,1889-08-10,Sunspot,-12.12,22.6,310.54,-7.54,311.46,213.69,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0279,38,False,479.7160818141927
329010,1889-08-10,Sunspot,-6.82,56.47,276.67,-8.58,275.61,177.94,0.22,1.0,1.0,0.12,0.04,0.04,False,False,True,False,Z1887-1892_Page_0279,39,False,479.7160818141927
