,Date,Object,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Confidence_1,Confidence_2,Confidence_3,Confidence_4,Confidence_5,Confidence_6,Regression_2,Regression_3,Regression_5,Regression_6,Source,Row,Empty,CR
412454,1907-06-22,Sunspot,19.7,-6.8,225.6,-14.1,226.8,38.1,0.13,0.75,0.75,0.64,1.0,1.0,True,False,False,False,Z1906-1910_Page_0833,22,False,718.9029747138449
412455,1907-06-22,Sunspot,-7.5,-7.8,226.6,-12.0,191.8,35.1,0.41,0.7,0.7,0.41,0.77,0.77,True,False,True,False,Z1906-1910_Page_0833,23,False,718.9029747138449
412456,1907-06-22,Sunspot,-18.0,-2.6,221.4,-11.5,222.5,33.8,0.19,0.67,0.67,0.13,1.0,1.0,True,False,False,False,Z1906-1910_Page_0833,24,False,718.9029747138449
412457,1907-06-22,Sunspot,18.8,-3.3,222.1,-13.7,228.4,34.7,1.0,0.7,1.0,1.0,0.38,0.38,True,False,True,False,Z1906-1910_Page_0833,25,False,718.9029747138449
412458,1907-06-22,Sunspot,9.1,40.0,178.8,-15.5,226.6,37.9,0.54,0.46,0.46,0.03,1.0,1.0,False,True,False,False,Z1906-1910_Page_0833,26,False,718.9029747138449
412459,1907-06-22,Sunspot,-9.0,21.5,197.3,-18.3,225.6,36.9,0.09,0.42,0.42,0.26,1.0,1.0,False,True,False,False,Z1906-1910_Page_0833,27,False,718.9029747138449
412460,1907-06-22,Sunspot,-21.5,-1.8,220.6,-16.0,222.2,33.5,0.35,0.54,0.54,0.68,1.0,1.0,True,False,False,False,Z1906-1910_Page_0833,28,False,718.9029747138449
412461,1907-06-22,Sunspot,24.2,85.5,133.3,-18.8,221.8,33.1,0.23,0.86,0.86,0.24,1.0,1.0,False,True,False,False,Z1906-1910_Page_0833,29,False,718.9029747138449
412462,1907-06-22,Sunspot,-19.2,86.0,132.8,-13.7,221.9,33.2,0.53,0.74,0.74,0.42,1.0,1.0,False,True,False,False,Z1906-1910_Page_0833,30,False,718.9029747138449
412463,1907-06-22,Sunspot,-9.0,24.0,194.8,-13.7,219.9,31.2,0.05,0.84,0.84,0.14,1.0,1.0,False,True,False,False,Z1906-1910_Page_0833,31,False,718.9029747138449
412464,1907-06-22,Sunspot,-20.0,2.2,216.6,-14.9,219.3,29.6,0.32,1.0,1.0,0.31,0.64,0.64,False,False,False,True,Z1906-1910_Page_0833,32,False,718.9029747138449
412465,1907-06-22,Sunspot,-12.8,32.0,186.8,-12.7,218.0,29.3,0.34,0.74,0.74,0.53,1.0,1.0,False,True,False,False,Z1906-1910_Page_0833,33,False,718.9029747138449
412466,1907-06-22,Sunspot,-12.0,0.7,218.1,-11.8,219.2,30.5,0.44,0.78,0.78,0.37,1.0,1.0,True,False,False,False,Z1906-1910_Page_0833,34,False,718.9029747138449
412467,1907-06-22,Sunspot,18.0,-1.3,220.1,-12.6,221.3,32.6,1.0,0.8,1.0,1.0,1.0,1.0,True,False,False,False,Z1906-1910_Page_0833,35,False,718.9029747138449
412468,1907-06-22,Sunspot,16.9,0.6,218.2,-11.4,216.4,27.7,1.0,1.0,1.0,1.0,0.36,0.36,False,False,False,True,Z1906-1910_Page_0833,36,False,718.9029747138449
412469,1907-06-22,Sunspot,-16.5,29.0,189.8,-11.6,214.8,26.1,0.36,0.62,0.62,0.36,1.0,1.0,False,True,False,False,Z1906-1910_Page_0833,37,False,718.9029747138449
412470,1907-06-22,Sunspot,-16.0,6.6,212.2,-11.3,213.5,24.8,0.68,0.59,0.59,0.06,1.0,1.0,True,False,False,False,Z1906-1910_Page_0833,38,False,718.9029747138449
412471,1907-06-22,Sunspot,-15.5,7.4,211.4,-10.8,52.7,24.0,0.66,0.65,0.65,0.42,1.0,1.0,True,False,False,False,Z1906-1910_Page_0833,39,False,718.9029747138449
412473,1907-06-22,Sunspot,15.2,29.0,189.8,-10.3,214.7,26.0,0.35,0.53,0.53,0.08,0.88,0.88,False,True,False,True,Z1906-1910_Page_0833,41,False,718.9029747138449
412474,1907-06-22,Sunspot,-15.0,30.0,188.8,-10.0,285.7,27.0,0.61,0.63,0.63,0.48,0.88,0.88,False,True,True,False,Z1906-1910_Page_0833,42,False,718.9029747138449
412475,1907-06-22,Sunspot,-16.0,3.7,215.1,-10.9,287.3,28.6,0.14,0.46,0.46,0.54,0.81,0.81,True,False,True,False,Z1906-1910_Page_0833,43,False,718.9029747138449
412476,1907-06-22,Sunspot,20.0,6.7,212.1,-14.6,283.8,25.1,0.25,0.42,0.42,0.22,0.69,0.69,True,False,True,False,Z1906-1910_Page_0833,44,False,718.9029747138449
412477,1907-06-22,Sunspot,21.0,13.5,205.3,24.1,268.0,339.3,0.32,0.59,0.59,0.72,0.84,0.84,False,True,False,True,Z1906-1910_Page_0833,45,False,718.9029747138449
