,Date,Object,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Confidence_1,Confidence_2,Confidence_3,Confidence_4,Confidence_5,Confidence_6,Regression_2,Regression_3,Regression_5,Regression_6,Source,Row,Empty,CR
330600,1890-03-08,Sunspot,29.77,16.95,165.98,32.99,167.17,315.2,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0322,1,False,487.40672500297995
330601,1890-03-08,Sunspot,40.5,18.41,164.52,33.76,165.88,313.91,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0322,2,False,487.40672500297995
330602,1890-03-08,Sunspot,29.24,18.14,164.79,32.5,166.06,314.09,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1887-1892_Page_0322,3,False,487.40672500297995
