,Date,Object,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Confidence_1,Confidence_2,Confidence_3,Confidence_4,Confidence_5,Confidence_6,Regression_2,Regression_3,Regression_5,Regression_6,Source,Row,Empty,CR
46821,1903-09-25,Sunspot,7.2,-33.0,49.0,11.7,49.9,168.9,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1903-1905_Page_0157,62,False,668.8266082016305
46822,1903-09-25,Sunspot,7.1,-31.2,47.2,11.8,48.1,167.1,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1903-1905_Page_0157,63,False,668.8266082016305
46823,1903-09-25,Sunspot,6.0,-30.2,46.2,10.8,46.9,165.9,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1903-1905_Page_0157,64,False,668.8266082016305
46825,1903-09-25,Sunspot,-28.8,-3.9,19.9,-22.2,18.8,137.8,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1903-1905_Page_0158,1,False,668.8266082016305
46826,1903-09-25,Sunspot,-29.0,-1.6,17.6,-22.4,16.6,135.6,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1903-1905_Page_0158,2,False,668.8266082016305
