,Date,Object,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Confidence_1,Confidence_2,Confidence_3,Confidence_4,Confidence_5,Confidence_6,Regression_2,Regression_3,Regression_5,Regression_6,Source,Row,Empty,CR
250943,1898-08-04,Sunspot,-19.2,-26.4,353.3,-12.3,353.5,250.9,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1893-1898_Page_2075,54,False,600.0079936247905
250944,1898-08-04,Sunspot,-20.5,-26.0,352.9,-13.6,353.2,250.6,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1893-1898_Page_2075,55,False,600.0079936247905
250945,1898-08-04,Sunspot,-19.8,-24.5,351.4,-12.9,351.8,249.2,1.0,1.0,1.0,1.0,0.72,0.72,False,False,False,True,Z1893-1898_Page_2075,56,False,600.0079936247905
250946,1898-08-04,Sunspot,-21.2,-24.5,351.4,-14.3,352.0,249.4,1.0,1.0,1.0,1.0,0.77,0.77,False,False,True,False,Z1893-1898_Page_2075,57,False,600.0079936247905
250947,1898-08-04,Sunspot,-20.3,-21.7,348.6,-13.5,349.0,246.4,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1893-1898_Page_2075,58,False,600.0079936247905
250948,1898-08-04,Sunspot,6.0,17.8,309.1,10.3,308.3,205.7,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1893-1898_Page_2075,59,False,600.0079936247905
250949,1898-08-04,Sunspot,5.7,20.5,306.4,9.7,305.6,203.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1893-1898_Page_2075,60,False,600.0079936247905
250950,1898-08-04,Sunspot,8.8,21.2,305.7,12.8,304.6,202.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1893-1898_Page_2075,61,False,600.0079936247905
250951,1898-08-04,Sunspot,10.2,24.8,302.1,13.8,300.8,198.2,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1893-1898_Page_2075,62,False,600.0079936247905
250952,1898-08-04,Sunspot,11.2,26.3,300.6,14.7,299.2,196.6,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1893-1898_Page_2075,63,False,600.0079936247905
250953,1898-08-04,Sunspot,10.5,27.8,299.1,13.8,297.8,195.2,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1893-1898_Page_2075,64,False,600.0079936247905
250955,1898-08-04,Sunspot,11.1,55.6,271.3,-11.0,271.7,169.1,0.98,1.0,1.0,0.01,1.0,1.0,False,False,False,False,Z1893-1898_Page_2076,2,False,600.0079936247905
250956,1898-08-04,Sunspot,13.2,59.5,267.4,-13.6,269.1,166.5,0.95,1.0,1.0,0.01,1.0,1.0,False,False,False,False,Z1893-1898_Page_2076,3,False,600.0079936247905
250957,1898-08-04,Sunspot,10.3,59.8,267.1,-10.7,268.4,165.8,0.98,1.0,1.0,0.01,1.0,1.0,False,False,False,False,Z1893-1898_Page_2076,4,False,600.0079936247905
